"Extracted from the UNHCR Population Statistics Reference Database, United Nations High Commissioner for Refugees.",,,,,,,,,,,,,,,,
Date extracted: 2015-02-10 23:13 +00:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Time Series – Persons of concern to UNHCR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country / territory of residence,Origin / Returned from,Population type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Australia,Ireland,Asylum seekers,3,2,,,,1,,,,,1,,3,9
Australia,Islamic Republic of Iran,Refugees,2617,2582,2626,2593,2766,2560,2346,1105,1151,1249,1327,2286,3949,4596
Australia,Islamic Republic of Iran,Asylum seekers,369,235,100,60,110,36,30,35,74,152,318,230,684,1154
Australia,Israel,Refugees,10,10,10,5,10,13,20,31,29,31,31,31,36,36
Australia,Israel,Asylum seekers,12,17,40,31,2,10,10,1,8,5,7,3,6,6
Australia,Italy,Refugees,,,,,,,1,1,2,2,2,2,2,*
Australia,Italy,Asylum seekers,12,9,3,5,,1,,,1,1,2,2,5,*
Australia,Jamaica,Asylum seekers,,,,,,,,,1,,1,1,1,*
Australia,Japan,Refugees,2,2,1,1,,,,,,,1,3,3,5
Australia,Japan,Asylum seekers,1,5,,,,2,,2,2,,4,6,2,7
Australia,Jordan,Refugees,66,71,67,28,42,59,63,66,49,68,69,66,77,90
Australia,Jordan,Asylum seekers,47,31,20,16,4,5,2,5,13,12,23,37,64,97
Australia,Kazakhstan,Refugees,29,27,14,13,6,4,4,14,11,6,4,8,7,*
Australia,Kazakhstan,Asylum seekers,6,9,10,6,,,,,,,4,,,
Australia,Kenya,Refugees,75,74,76,23,589,881,893,74,23,33,38,43,55,58
Australia,Kenya,Asylum seekers,11,32,17,19,7,4,3,1,19,8,12,25,40,49
Australia,Kiribati,Asylum seekers,,,,,,,,,,,,,,*
Australia,Kuwait,Refugees,432,430,410,328,112,113,141,60,41,26,22,34,39,41
Australia,Kuwait,Asylum seekers,8,3,4,2,,,,,,3,4,2,7,*
Australia,Kyrgyzstan,Refugees,2,1,13,16,16,15,17,21,22,22,21,22,11,8
Australia,Kyrgyzstan,Asylum seekers,15,22,9,3,,2,4,,,,2,2,2,
Australia,Lao People's Democratic Republic,Refugees,5,5,5,2,49,56,63,4,4,4,4,4,3,*
Australia,Lao People's Democratic Republic,Asylum seekers,9,14,12,6,,2,1,,,1,1,,,*
Australia,Latvia,Refugees,1,1,1,,,,5,7,6,6,6,6,6,6
Australia,Latvia,Asylum seekers,21,25,12,8,,2,1,1,1,1,1,,2,*
Australia,Lebanon,Refugees,415,431,507,262,306,346,307,433,170,183,209,271,315,346
Australia,Lebanon,Asylum seekers,164,246,175,49,19,33,42,29,40,56,134,131,310,359
Australia,Liberia,Refugees,8,108,269,381,1037,1698,2307,10,10,14,18,18,16,23
Australia,Liberia,Asylum seekers,3,2,,,,2,2,1,5,2,,3,12,10
Australia,Libya,Refugees,,,,,,,,,,,,28,127,309
Australia,Libya,Asylum seekers,,,,,,,,,,,,164,200,313
Australia,Libyan Arab Jamahiriya,Refugees,2,4,4,3,3,2,1,3,3,10,9,,,
Australia,Libyan Arab Jamahiriya,Asylum seekers,1,3,6,6,,2,,,,,12,,,
Australia,Lithuania,Refugees,2,1,,,,,,,,,,,,
Australia,Lithuania,Asylum seekers,13,19,28,12,,,2,,,,2,1,1,*
Australia,"Macao SAR, China",Asylum seekers,,,,,,,,,,,,1,1,
Australia,Malawi,Refugees,,,,,27,37,37,,,,1,,,
Australia,Malawi,Asylum seekers,1,,,1,,,,1,,,,,1,*
Australia,Malaysia,Refugees,6,4,7,8,5,10,14,22,32,38,43,49,69,86
Australia,Malaysia,Asylum seekers,104,109,78,57,20,58,33,56,56,74,86,74,103,169
Australia,Maldives,Refugees,1,1,1,1,,,,1,1,,,3,4,*
Australia,Maldives,Asylum seekers,1,,,,,,,,,,,,1,5
Australia,Mali,Refugees,,1,1,1,1,1,1,3,3,3,3,2,2,*
Australia,Mali,Asylum seekers,2,1,,,,,,,,,,1,6,*
Australia,Malta,Refugees,,,,,,1,1,1,1,1,1,1,1,*
Australia,Mauritania,Refugees,1,1,4,5,4,6,6,5,5,4,4,4,1,
Australia,Mauritania,Asylum seekers,1,5,1,,,,,,,,,,,
Australia,Mauritius,Refugees,2,2,2,2,2,,,,,,,,1,*
Australia,Mauritius,Asylum seekers,6,4,1,,,,,,,1,9,27,16,16
Australia,Mexico,Refugees,7,7,5,5,1,,,5,5,1,,,2,*
Australia,Mexico,Asylum seekers,1,,1,,,,,,,,,1,1,*
Australia,Mongolia,Refugees,,,1,2,4,8,18,30,35,42,43,46,49,50
Australia,Mongolia,Asylum seekers,27,76,80,6,2,10,6,7,1,7,7,9,12,23
Australia,Morocco,Refugees,5,7,5,5,5,7,9,14,14,14,13,13,18,18
Australia,Morocco,Asylum seekers,4,5,5,3,,7,4,,1,,,1,6,5
Australia,Mozambique,Refugees,,,,,,,,1,1,1,1,5,5,5
Australia,Mozambique,Asylum seekers,1,1,,,,,1,1,,,,,1,*
Australia,Myanmar,Refugees,962,773,732,684,651,967,2558,433,455,489,444,514,534,513
Australia,Myanmar,Asylum seekers,156,145,83,25,7,17,14,21,41,24,34,37,60,74
Australia,Namibia,Refugees,,,,,,7,7,,,,,,,
Australia,Namibia,Asylum seekers,,,,,,,,,,,,,1,
Australia,Nauru,Asylum seekers,,1,1,,,,,,,,,,,
Australia,Nepal,Refugees,27,23,34,31,29,47,72,100,114,130,154,186,196,197
Australia,Nepal,Asylum seekers,181,203,59,45,23,40,30,24,17,29,100,223,185,300
Australia,Netherlands,Refugees,,,,,,,,,,,,1,1,*
Australia,Netherlands,Asylum seekers,1,,,,,,,,,,1,1,1,
Australia,New Zealand,Refugees,,,,,,,,,,,1,2,3,*
Australia,New Zealand,Asylum seekers,,1,,,,1,5,4,6,2,3,7,8,7
Australia,Nicaragua,Refugees,14,,,,,,,,,,,,,
Australia,Nicaragua,Asylum seekers,1,1,,,,,,,,,,,,
Australia,Niger,Refugees,8,8,1,1,,,,2,2,1,1,1,1,*
Australia,Niger,Asylum seekers,,,,,,,1,,,,,,1,
Australia,Nigeria,Refugees,24,28,29,23,29,34,53,68,67,88,101,106,116,132
Australia,Nigeria,Asylum seekers,108,120,56,43,3,16,9,13,22,16,18,57,78,103
Australia,Norway,Asylum seekers,,,,,,,,,1,,,,,*
Australia,Occupied Palestinian Territory,Refugees,55,105,151,158,130,130,90,159,167,167,172,165,,
Australia,Occupied Palestinian Territory,Asylum seekers,93,54,19,4,,11,5,10,8,19,27,38,,
Australia,Oman,Asylum seekers,,,2,1,,,,,,,,,,*
Australia,Pakistan,Refugees,578,561,479,389,363,322,316,440,438,589,747,1038,1957,2608
Australia,Pakistan,Asylum seekers,252,238,161,51,94,68,34,65,86,123,320,568,1098,1375
Australia,Palestinian,Refugees,,,,,,,,,,,,,179,238
Australia,Palestinian,Asylum seekers,,,,,,,,,,,,,159,84
Australia,Papua New Guinea,Refugees,,,1,2,2,8,15,27,44,68,87,126,172,219
Australia,Papua New Guinea,Asylum seekers,3,2,7,8,,17,7,19,12,9,41,46,83,144
Australia,Paraguay,Asylum seekers,1,2,1,,,,,,,,,,,
Australia,Peru,Refugees,55,42,31,19,10,8,6,19,14,8,6,6,2,*
Australia,Peru,Asylum seekers,56,93,57,4,,,,2,5,2,2,12,5,14
Australia,Philippines,Refugees,37,27,32,7,7,9,9,25,10,11,14,19,29,30
Australia,Philippines,Asylum seekers,141,75,19,19,20,15,20,8,8,18,15,41,48,52
Australia,Plurinational State of Bolivia,Asylum seekers,7,9,3,1,,,,,,,,,,
Australia,Poland,Refugees,1,,,,,,,,,,1,1,1,*
Australia,Poland,Asylum seekers,9,15,26,8,,,1,1,,1,3,1,1,*
Australia,Portugal,Refugees,1,,,,,,,,,,,,,
Australia,Portugal,Asylum seekers,6,8,10,4,,2,1,,,3,,,5,*
Australia,Qatar,Asylum seekers,1,1,,,,,,,,,,,,
Australia,Republic of Korea,Refugees,26,19,15,3,2,1,4,20,13,17,24,32,37,42
Australia,Republic of Korea,Asylum seekers,64,157,179,30,2,39,18,25,45,20,40,37,60,89
Australia,Republic of Moldova,Refugees,2,1,1,1,,,,1,1,,,,,
Australia,Republic of Moldova,Asylum seekers,48,37,22,8,,,,1,,,,,2,*
Australia,Romania,Refugees,12,11,6,7,8,8,9,12,13,17,18,17,14,12
Australia,Romania,Asylum seekers,25,33,21,16,4,2,2,2,,5,1,6,4,*
Australia,Russian Federation,Refugees,697,286,207,188,145,96,89,213,199,171,118,103,83,66
Australia,Russian Federation,Asylum seekers,180,179,99,11,5,13,2,3,8,2,6,8,12,28
Australia,Rwanda,Refugees,11,11,23,60,144,192,317,9,11,15,23,26,27,27
Australia,Rwanda,Asylum seekers,6,8,5,4,,,,2,10,3,2,3,12,21
Australia,Samoa,Refugees,1,1,,,,,,,,,1,1,1,*
Australia,Samoa,Asylum seekers,1,8,4,4,,2,,1,,1,,,6,
Australia,Saudi Arabia,Refugees,3,1,4,5,5,16,28,16,16,16,22,26,37,49
Australia,Saudi Arabia,Asylum seekers,1,2,,,,,,1,,1,3,15,25,18
Australia,Senegal,Refugees,1,1,,,,2,2,4,4,4,4,4,5,6
Australia,Senegal,Asylum seekers,7,5,5,1,,,,,,,1,1,2,
Australia,Serbia (and Kosovo: S/RES/1244 (1999)),Refugees,,,,,,,2432,266,241,191,93,87,80,77
Australia,Serbia (and Kosovo: S/RES/1244 (1999)),Asylum seekers,,,,,,,,3,1,1,2,1,2,*
Australia,Serbia and Montenegro,Refugees,,,,7250,5366,3826,,,,,,,,
Australia,Serbia and Montenegro,Asylum seekers,,,,108,144,9,2,,,,,,,
Australia,Seychelles,Asylum seekers,,,,,,,,,,,,1,,
Australia,Sierra Leone,Refugees,100,428,680,777,1422,1833,2103,32,30,32,33,35,33,33
Australia,Sierra Leone,Asylum seekers,20,19,4,2,,2,1,,10,9,5,1,4,9
Australia,Singapore,Refugees,4,6,6,6,5,5,,6,6,5,5,,,
Australia,Singapore,Asylum seekers,12,2,,2,,2,1,1,,1,1,4,11,9
Australia,Slovakia,Asylum seekers,,2,2,1,,,,,,,,1,,
Australia,Slovenia,Refugees,13,13,7,3,3,3,,,,,,,,
Australia,Slovenia,Asylum seekers,3,1,1,1,,4,,,,,,,,
Australia,Solomon Islands,Refugees,,8,16,22,22,22,27,32,32,32,32,24,16,15
Australia,Solomon Islands,Asylum seekers,19,12,3,3,,1,1,,,,,3,2,7
Australia,Somalia,Refugees,2094,2059,1743,1130,941,864,797,142,86,84,74,77,66,67
Australia,Somalia,Asylum seekers,18,14,12,9,,3,3,4,8,11,15,21,26,39
Australia,South Africa,Refugees,2,3,3,10,9,10,9,13,15,21,25,31,32,32
Australia,South Africa,Asylum seekers,25,36,29,6,,5,2,3,7,19,11,10,16,21
Australia,South Sudan,Asylum seekers,,,,,,,,,,,,,,*
Australia,Spain,Asylum seekers,1,2,2,,,1,1,,,,,3,3,
Australia,Sri Lanka,Refugees,2091,1675,1236,935,694,571,600,1707,1843,2070,2373,2572,2866,3313
Australia,Sri Lanka,Asylum seekers,528,532,310,131,39,185,195,140,184,230,253,270,2309,1890
Australia,Stateless,Refugees,137,144,135,139,102,54,35,112,121,149,347,849,1433,1689
Australia,Stateless,Asylum seekers,28,45,22,7,,7,1,8,7,13,29,57,160,457
Australia,Sudan,Refugees,2872,3858,6033,10037,16365,18827,21241,59,53,56,57,49,49,56
Australia,Sudan,Asylum seekers,15,12,3,5,,4,3,6,7,9,6,9,14,19
Australia,Swaziland,Refugees,,,,,,,1,,,,,,,
Australia,Sweden,Refugees,,,,,,,,,,1,1,1,1,*
Australia,Sweden,Asylum seekers,,,1,1,,1,,,,,1,,,
Australia,Switzerland,Refugees,,,,,,,,,,,1,,,
Australia,Syrian Arab Republic,Refugees,61,73,72,71,103,124,123,78,74,80,68,84,204,265
Australia,Syrian Arab Republic,Asylum seekers,61,48,20,19,2,3,9,2,11,7,18,66,74,139
Australia,Tajikistan,Refugees,,,,1,1,1,1,1,1,1,1,1,2,*
Australia,Tajikistan,Asylum seekers,1,1,1,,,,,,,,,1,,*
Australia,Thailand,Refugees,34,31,31,11,70,198,231,34,15,13,13,15,17,16
Australia,Thailand,Asylum seekers,97,63,153,42,5,30,21,5,3,5,17,8,20,16
Australia,The former Yugoslav Republic of Macedonia,Refugees,28,29,16,14,14,4,,10,10,10,,,,
Australia,The former Yugoslav Republic of Macedonia,Asylum seekers,83,124,32,13,2,3,1,1,,3,2,6,1,*
Australia,Tibetan,Refugees,,,,,,,15,,4,7,7,7,,7
Australia,Tibetan,Asylum seekers,,,,,,,,,,2,,,,5
Australia,Timor-Leste,Refugees,,,,127,221,251,251,6,7,7,8,8,8,8
Australia,Timor-Leste,Asylum seekers,19,20,513,5,,2,8,2,1,,1,,1,*
Australia,Togo,Refugees,,1,1,1,1,2,12,1,1,4,4,3,3,*
Australia,Togo,Asylum seekers,1,,,,,,,,4,,,,,*
Australia,Tonga,Refugees,3,1,1,1,1,,,1,3,3,3,7,11,16
Australia,Tonga,Asylum seekers,13,40,54,31,3,4,6,2,6,7,9,21,39,61
Australia,Trinidad and Tobago,Asylum seekers,,,,1,,,,,,,,,,
Australia,Tunisia,Refugees,3,8,9,15,15,13,8,15,17,17,15,12,10,6
Australia,Tunisia,Asylum seekers,11,7,4,,,,,,,,,,1,*
Australia,Turkey,Refugees,655,597,662,585,399,355,257,428,372,246,224,267,311,349
Australia,Turkey,Asylum seekers,92,134,66,51,10,29,11,25,20,34,99,105,104,133
Australia,Turkmenistan,Refugees,,,,,,,,,,2,2,2,2,*
Australia,Tuvalu,Asylum seekers,,1,1,,,,,,,,,,1,*
Australia,Uganda,Refugees,20,25,49,51,239,370,391,21,27,31,33,42,43,48
Australia,Uganda,Asylum seekers,12,12,5,8,,5,2,4,11,2,5,17,19,11
Australia,Ukraine,Refugees,20,27,40,44,40,34,30,55,55,52,42,40,26,20
Australia,Ukraine,Asylum seekers,203,259,125,9,,4,6,2,,3,11,7,16,12
Australia,United Arab Emirates,Refugees,4,11,9,10,10,8,1,3,3,4,2,4,4,*
Australia,United Arab Emirates,Asylum seekers,,1,1,1,,,,,,,2,1,1,*
Australia,United Kingdom,Refugees,,,4,4,4,5,11,2,2,2,2,2,2,*
Australia,United Kingdom,Asylum seekers,5,4,5,1,,3,2,1,,6,6,9,26,10
Australia,United Republic of Tanzania,Refugees,8,6,8,6,149,489,513,8,7,7,11,11,9,9
Australia,United Republic of Tanzania,Asylum seekers,7,10,3,4,,2,1,4,,1,2,1,2,7
Australia,United States,Refugees,1,1,1,2,1,2,3,4,8,8,8,8,9,8
Australia,United States,Asylum seekers,2,6,4,3,,1,,1,,1,2,7,16,9
Australia,Uruguay,Refugees,1,1,,,,,,,,,,,,
Australia,Uruguay,Asylum seekers,7,16,36,7,,5,,,,,,,1,
Australia,Uzbekistan,Refugees,3,4,6,8,8,11,21,23,22,24,29,31,30,29
Australia,Uzbekistan,Asylum seekers,9,21,11,5,,3,1,3,3,7,4,5,5,*
Australia,Vanuatu,Refugees,,,,,,,,,,,1,1,1,*
Australia,Vanuatu,Asylum seekers,2,1,,,,,,,,1,,,,
Australia,Viet Nam,Refugees,1731,918,337,255,232,243,211,57,50,52,52,58,88,90
Australia,Viet Nam,Asylum seekers,158,185,101,55,7,18,12,14,15,14,53,55,50,102
Australia,Western Sahara,Asylum seekers,,,,,,,,,,,,,,*
Australia,Yemen,Refugees,18,35,35,44,29,30,15,10,8,6,6,4,7,6
Australia,Yemen,Asylum seekers,2,3,4,1,,1,,1,1,,,3,8,10
Australia,Zambia,Refugees,1,1,1,1,1,4,4,3,5,5,5,5,6,6
Australia,Zambia,Asylum seekers,3,3,6,8,,,,,1,1,2,1,11,12
Australia,Zimbabwe,Refugees,1,5,13,43,42,77,113,148,294,564,775,888,953,991
Australia,Zimbabwe,Asylum seekers,22,29,40,23,,24,20,33,69,86,105,150,150,100
Australia,Various,Refugees,1534,1245,1145,159,448,442,393,1298,304,237,226,183,178,177
Australia,Various,Asylum seekers,388,244,169,11,2584,5,1,7,,34,38,19,57,78
Austria,Afghanistan,Refugees,679,1049,1270,1595,2482,2991,3664,4191,5387,6401,7359,8636,10158,11906
Austria,Afghanistan,Asylum seekers,,,,,,,1575,1544,2016,2808,2696,4576,6203,6248
Austria,Albania,Refugees,120,134,134,149,155,158,172,168,179,178,180,169,150,125
Austria,Albania,Asylum seekers,,,,,,,284,276,273,267,174,108,87,118
Austria,Algeria,Refugees,5,6,6,7,7,10,11,22,24,28,33,41,50,51
Austria,Algeria,Asylum seekers,,,,,,,324,273,268,258,247,259,175,318
Austria,Angola,Refugees,17,23,33,54,79,94,112,131,144,158,173,179,173,157
Austria,Angola,Asylum seekers,,,,,,,66,41,46,37,25,28,22,15
Austria,Armenia,Refugees,22,28,38,64,111,174,309,468,715,797,855,930,974,998
Austria,Armenia,Asylum seekers,,,,,,,1754,1714,1502,1343,881,431,493,471
Austria,Australia,Asylum seekers,,,,,,,,,,,,1,1,*
Austria,Austria,Refugees,1,1,1,1,,,1,1,,,,,,
Austria,Azerbaijan,Refugees,17,22,29,42,68,95,135,208,290,320,381,407,418,425
Austria,Azerbaijan,Asylum seekers,,,,,,,357,322,324,299,196,148,162,132
Austria,Bangladesh,Refugees,8,2,2,2,4,2,9,9,26,44,64,82,93,126
Austria,Bangladesh,Asylum seekers,,,,,,,344,317,299,321,355,322,378,429
Austria,Barbados,Asylum seekers,,,,,,,,,1,,,,,
Austria,Belarus,Refugees,,2,3,3,8,17,24,43,59,81,96,100,106,111
Austria,Belarus,Asylum seekers,,,,,,,269,216,188,143,75,51,34,28
Austria,Benin,Refugees,,,,,,1,3,4,4,4,5,5,5,5
Austria,Benin,Asylum seekers,,,,,,,18,12,13,16,15,8,7,10
Austria,Bhutan,Refugees,,,,,,,,,,,1,1,1,*
Austria,Bhutan,Asylum seekers,,,,,,,1,1,1,1,,1,2,*
Austria,Bolivarian Republic of Venezuela,Asylum seekers,,,,,,,1,1,1,1,,,,
Austria,Bosnia and Herzegovina,Refugees,1398,1402,1255,726,581,231,200,171,205,206,211,215,219,210
Austria,Bosnia and Herzegovina,Asylum seekers,,,,,,,469,392,363,316,267,178,155,151
Austria,Botswana,Asylum seekers,,,,,,,1,1,1,,,,,
Austria,Brazil,Refugees,,,,,,,,,1,1,1,1,1,*
Austria,Brazil,Asylum seekers,,,,,,,1,1,,,,,,*
Austria,Bulgaria,Refugees,62,22,4,5,5,8,8,5,5,5,5,6,6,5
Austria,Bulgaria,Asylum seekers,,,,,,,49,24,20,18,12,4,5,5
Austria,Burkina Faso,Refugees,,,1,1,1,1,3,3,5,5,7,10,10,11
Austria,Burkina Faso,Asylum seekers,,,,,,,15,13,9,12,8,5,9,8
Austria,Burundi,Refugees,3,7,7,8,13,11,13,15,20,24,24,21,21,21
Austria,Burundi,Asylum seekers,,,,,,,20,17,14,10,4,1,3,*
Austria,Cambodia,Refugees,180,42,32,23,21,20,16,13,6,5,1,2,1,*
Austria,Cambodia,Asylum seekers,,,,,,,2,2,2,1,,,,
Austria,Cameroon,Refugees,20,27,39,51,61,84,97,128,159,186,199,211,221,235
Austria,Cameroon,Asylum seekers,,,,,,,187,157,151,131,98,85,88,78
Austria,Canada,Refugees,,,,,,,,,,,,,1,*
Austria,Canada,Asylum seekers,,,,,,,1,1,,,1,,,
Austria,Cape Verde,Asylum seekers,,,,,,,1,1,,,,,,
Austria,Central African Republic,Asylum seekers,,,,,,,1,1,1,1,,,,
Austria,Chad,Refugees,6,6,6,2,2,2,2,2,2,3,3,3,1,*
Austria,Chad,Asylum seekers,,,,,,,2,3,3,3,3,5,7,6
Austria,Chile,Refugees,11,6,4,2,2,2,2,,,,,,,
Austria,Chile,Asylum seekers,,,,,,,4,4,4,3,,,,
Austria,China,Refugees,37,25,21,30,33,41,62,102,137,188,225,281,328,388
Austria,China,Asylum seekers,,,,,,,1128,1024,1021,866,535,407,353,365
Austria,Colombia,Refugees,28,26,24,24,24,32,41,38,37,32,22,20,19,19
Austria,Colombia,Asylum seekers,,,,,,,6,5,4,4,5,6,5,5
Austria,Comoros,Asylum seekers,,,,,,,,,,,,1,1,*
Austria,Congo,Refugees,13,18,26,35,38,46,56,67,75,92,102,119,122,122
Austria,Congo,Asylum seekers,,,,,,,37,36,32,32,21,27,22,18
Austria,Côte d'Ivoire,Refugees,3,3,3,4,7,9,9,15,21,25,28,54,60,60
Austria,Côte d'Ivoire,Asylum seekers,,,,,,,52,42,33,39,38,30,28,38
Austria,Croatia,Refugees,26,26,26,26,30,23,17,17,17,15,8,8,9,9
Austria,Croatia,Asylum seekers,,,,,,,28,22,19,11,9,5,11,*
Austria,Cuba,Refugees,11,2,1,2,1,5,6,13,17,20,21,23,25,24
Austria,Cuba,Asylum seekers,,,,,,,9,10,7,7,2,4,10,18
Austria,Czech Republic,Refugees,10,7,5,5,4,3,3,3,3,2,1,1,1,*
Austria,Czech Republic,Asylum seekers,,,,,,,14,4,1,,1,,1,
Austria,Democratic People's Republic of Korea,Asylum seekers,,,,,,,2,,,,2,,,
Austria,Democratic Republic of the Congo,Refugees,170,188,201,227,271,313,352,370,392,402,427,434,449,448
Austria,Democratic Republic of the Congo,Asylum seekers,,,,,,,122,108,128,137,100,104,111,121
Austria,Djibouti,Asylum seekers,,,,,,,,,1,1,,2,3,*
Austria,Dominican Republic,Asylum seekers,,,,,,,2,1,1,1,1,,,
Austria,Ecuador,Asylum seekers,,,,,,,,,,1,,,,
Austria,Egypt,Refugees,23,21,19,21,29,31,30,33,32,36,40,59,82,96
Austria,Egypt,Asylum seekers,,,,,,,83,88,91,114,129,174,192,247
Austria,Equatorial Guinea,Refugees,,,,,,,,1,1,1,1,1,1,*
Austria,Equatorial Guinea,Asylum seekers,,,,,,,4,3,3,2,1,1,1,*
Austria,Eritrea,Refugees,1,1,2,6,13,21,24,29,34,48,63,76,88,101
Austria,Eritrea,Asylum seekers,,,,,,,13,17,28,31,19,24,19,54
Austria,Estonia,Refugees,,,,,,,,,3,3,3,3,3,*
Austria,Estonia,Asylum seekers,,,,,,,,1,,,,,,
Austria,Ethiopia,Refugees,55,46,40,54,70,76,87,90,98,113,127,139,143,136
Austria,Ethiopia,Asylum seekers,,,,,,,61,54,54,48,49,38,42,54
Austria,Federal Republic of Yugoslavia,Refugees,3931,4099,4138,,,,,,,,,,,
Austria,France,Refugees,,,,1,1,1,1,1,1,1,1,1,1,
Austria,Gabon,Asylum seekers,,,,,,,3,4,3,7,7,6,7,8
Austria,Gambia,Refugees,,1,5,6,13,12,19,24,33,48,71,83,90,101
Austria,Gambia,Asylum seekers,,,,,,,306,268,214,189,112,103,95,108
Austria,Georgia,Refugees,3,9,22,82,153,226,291,377,532,654,730,774,819,788
Austria,Georgia,Asylum seekers,,,,,,,1752,1375,1350,1188,643,410,326,322
Austria,Germany,Asylum seekers,,,,,,,,,,,1,,1,*
Austria,Ghana,Refugees,38,34,26,26,29,20,19,18,23,31,35,35,37,39
Austria,Ghana,Asylum seekers,,,,,,,233,196,157,120,39,43,28,34
Austria,Guatemala,Refugees,,,,,,,,,5,5,5,5,5,6
Austria,Guatemala,Asylum seekers,,,,,,,,5,,,,,,*
Austria,Guinea,Refugees,7,8,9,12,15,21,26,29,36,36,47,67,74,86
Austria,Guinea,Asylum seekers,,,,,,,112,88,88,126,113,90,91,97
Austria,Guinea-Bissau,Refugees,,,,,,,,,1,2,2,2,4,*
Austria,Guinea-Bissau,Asylum seekers,,,,,,,69,40,34,38,34,38,25,20
Austria,Haiti,Asylum seekers,,,,,,,,,,,1,,,
Austria,Honduras,Asylum seekers,,,,,,,,,,,,,,*
Austria,Hungary,Refugees,2,1,1,1,1,1,1,1,1,1,,,,
Austria,Hungary,Asylum seekers,,,,,,,4,1,,,,1,1,*
Austria,India,Refugees,4,6,3,3,3,4,9,10,23,37,43,48,50,53
Austria,India,Asylum seekers,,,,,,,1429,1297,1066,851,588,499,545,442
Austria,Indonesia,Refugees,3,4,4,4,4,4,4,4,4,1,1,,,
Austria,Indonesia,Asylum seekers,,,,,,,,1,1,,,,,
Austria,Iraq,Refugees,1902,1769,1151,1141,1429,1224,1179,1366,1972,2183,2320,2622,2863,2966
Austria,Iraq,Asylum seekers,,,,,,,643,636,745,807,912,893,807,699
Austria,Islamic Republic of Iran,Refugees,1480,1251,1076,1112,1445,1589,1679,1929,2112,2183,2357,2509,2816,3188
Austria,Islamic Republic of Iran,Asylum seekers,,,,,,,855,661,586,606,577,624,804,687
Austria,Israel,Refugees,,,,,,,,,,,2,2,2,*
Austria,Israel,Asylum seekers,,,,,,,19,15,17,10,14,12,18,18
Austria,Italy,Asylum seekers,,,,,,,,,,,,1,,
Austria,Jamaica,Asylum seekers,,,,,,,,,,,1,,,*
Austria,Jordan,Refugees,7,7,1,1,2,2,1,4,5,7,9,9,10,13
Austria,Jordan,Asylum seekers,,,,,,,12,22,29,28,25,28,29,33
Austria,Kazakhstan,Refugees,,,,9,13,17,18,22,26,31,34,42,50,49
Austria,Kazakhstan,Asylum seekers,,,,,,,50,50,56,56,53,43,48,81
Austria,Kenya,Refugees,,,,,,1,2,3,4,9,11,20,24,27
Austria,Kenya,Asylum seekers,,,,,,,16,20,27,32,35,25,38,36
Austria,Kuwait,Refugees,,,,,,,,,,,,1,2,*
Austria,Kuwait,Asylum seekers,,,,,,,,,,,1,1,,
Austria,Kyrgyzstan,Refugees,,15,17,20,25,56,87,103,156,194,217,244,258,272
Austria,Kyrgyzstan,Asylum seekers,,,,,,,202,183,131,81,141,114,112,97
Austria,Lao People's Democratic Republic,Refugees,22,21,21,21,9,1,1,1,1,1,1,1,1,*
Austria,Latvia,Refugees,,,,,,,,2,2,2,2,2,2,*
Austria,Latvia,Asylum seekers,,,,,,,3,1,1,2,2,2,2,*
Austria,Lebanon,Refugees,58,37,33,21,17,11,10,30,27,33,36,44,46,50
Austria,Lebanon,Asylum seekers,,,,,,,136,144,134,136,122,81,59,45
Austria,Liberia,Refugees,20,18,14,15,19,15,20,15,22,25,27,27,27,26
Austria,Liberia,Asylum seekers,,,,,,,183,109,72,62,38,34,35,36
Austria,Libya,Refugees,,,,,,,,,,,,5,6,6
Austria,Libya,Asylum seekers,,,,,,,,,,,,23,19,23
Austria,Libyan Arab Jamahiriya,Refugees,2,2,2,1,2,2,2,2,2,2,2,,,
Austria,Libyan Arab Jamahiriya,Asylum seekers,,,,,,,10,9,10,14,6,,,
Austria,Lithuania,Asylum seekers,,,,,,,2,,,1,1,1,1,*
Austria,Madagascar,Refugees,,,,,,2,2,2,2,2,2,4,5,5
Austria,Madagascar,Asylum seekers,,,,,,,2,,,,,1,,
Austria,Malawi,Asylum seekers,,,,,,,3,2,,,,,,
Austria,Maldives,Asylum seekers,,,,,,,,,,,1,,,
Austria,Mali,Refugees,,,,,,,1,,1,1,1,1,5,11
Austria,Mali,Asylum seekers,,,,,,,43,33,24,25,31,31,34,35
Austria,Mauritania,Refugees,,,,,2,3,4,5,5,6,6,6,7,7
Austria,Mauritania,Asylum seekers,,,,,,,19,10,8,11,5,6,4,9
Austria,Mauritius,Refugees,,,,,,,,,,,,,,*
Austria,Mauritius,Asylum seekers,,,,,,,3,2,,,1,1,2,*
Austria,Mexico,Refugees,,,,,,,,,,,1,1,1,*
Austria,Mexico,Asylum seekers,,,,,,,,1,1,1,,,,
Austria,Mongolia,Refugees,8,8,4,4,10,16,26,53,101,119,131,157,176,183
Austria,Mongolia,Asylum seekers,,,,,,,969,895,872,911,632,411,276,246
Austria,Montenegro,Refugees,,,,,,,,4,12,12,12,13,13,13
Austria,Montenegro,Asylum seekers,,,,,,,12,16,19,17,11,9,9,11
