"Extracted from the UNHCR Population Statistics Reference Database, United Nations High Commissioner for Refugees.",,,,,,,,,,,,,,,,
Date extracted: 2015-02-10 23:13 +00:00,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Time Series – Persons of concern to UNHCR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Country / territory of residence,Origin / Returned from,Population type,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Angola,Gambia,Asylum seekers,,,,,,,1,1,1,1,1,1,1,*
Angola,Guinea,Refugees,,,,2,2,4,7,10,11,20,36,84,167,164
Angola,Guinea,Asylum seekers,2,2,7,17,16,10,3,3,2,94,78,,4553,4562
Angola,Guinea-Bissau,Refugees,,,,,1,1,1,1,1,2,2,5,5,5
Angola,Guinea-Bissau,Asylum seekers,3,3,2,2,,4,14,14,14,17,17,14,133,167
Angola,Haiti,Refugees,,,,,,,,,,1,1,1,2,*
Angola,Haiti,Asylum seekers,,,,,,,,4,3,1,1,1,2,*
Angola,Iraq,Refugees,1,1,1,1,1,1,1,1,1,2,2,2,2,*
Angola,Iraq,Asylum seekers,,,,,,,,1,1,1,1,1,1,*
Angola,Liberia,Refugees,6,6,6,19,41,51,63,65,69,73,75,160,160,160
Angola,Liberia,Asylum seekers,1,,6,16,,,9,24,11,158,158,73,369,328
Angola,Mali,Returned refugees,,,,,,,4,,,,,,,
Angola,Mauritania,Refugees,1,2,2,4,5,7,10,13,16,64,83,235,235,235
Angola,Mauritania,Asylum seekers,2,,1,1,1,1,18,11,9,109,90,,2490,2257
Angola,Mauritius,Asylum seekers,,,,,,,,,,,,,,*
Angola,Mozambique,Returned refugees,,,,,,,1,,,,,,,
Angola,Namibia,Returned refugees,,1,1084,9439,8809,2719,45,1,2,144,83,28,2808,40
Angola,Nigeria,Asylum seekers,,,,,,,,,,1,1,1,2,*
Angola,Republic of Korea,Asylum seekers,,,,,,,,1,1,1,1,1,1,
Angola,Russian Federation,Returned refugees,,,,,,,2,,,1,,,,
Angola,Rwanda,Refugees,165,177,176,120,148,148,91,238,278,422,444,452,452,458
Angola,Rwanda,Asylum seekers,5,3,,5,,1,,8,33,21,8,,258,290
Angola,Rwanda,Returned refugees,,11,,,,,,,,,,,,
Angola,Saudi Arabia,Asylum seekers,,,,,,,1,1,1,,,,,
Angola,Senegal,Asylum seekers,,,,,,,10,10,10,10,10,10,11,*
Angola,Senegal,Returned refugees,,,3,,,,,,,,,,,
Angola,Sierra Leone,Refugees,9,15,15,57,68,76,68,77,84,216,219,413,413,413
Angola,Sierra Leone,Asylum seekers,21,4,34,33,16,5,92,263,252,462,462,261,1288,1065
Angola,Somalia,Refugees,3,4,4,6,6,10,10,27,33,35,37,215,215,215
Angola,Somalia,Asylum seekers,,,1,2,2,,11,18,38,55,53,,1086,1353
Angola,South Africa,Refugees,,,,,,,,1,2,2,2,2,2,*
Angola,South Africa,Returned refugees,,3,3,9,33,24,17,10,1,1,1,,,35
Angola,Sudan,Refugees,3,4,4,35,35,36,14,31,41,135,159,281,281,281
Angola,Sudan,Asylum seekers,,2,1,4,4,4,27,57,88,236,212,103,1647,1555
Angola,Syrian Arab Republic,Asylum seekers,,,,,,,,,,,,,1,*
Angola,Togo,Asylum seekers,,,,,,,,,,2,2,2,2,*
Angola,Uganda,Refugees,1,1,1,,1,2,,,,1,2,2,2,*
Angola,Uganda,Asylum seekers,,1,,2,1,1,2,2,2,,,,2,*
Angola,Ukraine,Returned refugees,,,,2,2,,,,,,,1,,*
Angola,United Kingdom,Returned refugees,,,,,,,3,1,,,,,,
Angola,United Republic of Tanzania,Refugees,,,3,4,4,4,3,3,3,5,6,6,6,6
Angola,United Republic of Tanzania,Asylum seekers,3,5,3,5,5,5,5,14,14,,,,,
Angola,Western Sahara,Refugees,,,,,,,,,,5,5,13,27,27
Angola,Western Sahara,Asylum seekers,,,,,,,,,,1,1,1,103,172
Angola,Zambia,Refugees,7,7,7,2,2,2,1,1,1,1,1,1,1,*
Angola,Zambia,Asylum seekers,1,1,1,1,1,1,,,,,,,,
Angola,Zambia,Returned refugees,98,90,51283,43507,46499,29758,21941,2440,275,2295,399,2371,1085,1161
Angola,Zimbabwe,Asylum seekers,,,,,,,1,1,1,1,1,1,4,*
Angola,Zimbabwe,Returned refugees,,,,,5,2,,5,4,4,,,,
Angola,Various,Asylum seekers,,,,,,,,,,,133,,,
